Lote,Investigador,Fecha,Criba,Profundidad (cmbd),Volumen (m?),Operación,Unidad,RELATED LOTES FROM HARRIS MATRIX,DATE C14,,Chronology group,,Elemento,Estructura,Cuarto,Relación a otros lotes (estratigrafía),Descripción del sedimento,Interpretación cultural,Flotación
5,DHS,1 VII 13,0.5,,0.74,17,K21,Surface,,,6,,,,,Superficie,"Capa húmica, tierra orgánica y raíces. Munsell 10YR 4/2",Superficie,
6,DHS,1 VII 13,0.5,,0.81,17,J21,Surface,,,6,,,,,Superficie,"Capa húmica, tierra orgánica y raíces. Munsell 10YR 4/2",Superficie,
7,DHS,1 VII 13,0.5,,0.87,17,K20,Surface,,,6,,,,,Superficie,"Capa húmica, tierra orgánica y raíces. Munsell 10YR 4/2",Superficie,
8,DHS,1 VII 13,0.5,,0.72,17,J20,Surface,,,6,,,,,Superficie,"Capa húmica, tierra orgánica y raíces. Munsell 10YR 4/2",Superficie,
9,DHS,3 VII 13,0.5,,0.48,17,K21,First capa,,,6,,,,,Debajo de 5,"Pedazos de piso apisonado y bajareque, Munsell 10YR 4/2, Arena sub-angular",Derrumbe y deslave,X
10,DHS,3 VII 13,0.5,,0.07,17,K21,Second capa,1745,20,5,,Elemento 1,,,Debajo de 9,Tierra limosa con gravilla. Munsell 10YR 4/2,Depósito tipo cache con núcleos de obsidiana,X
11,DHS,3 VII 13,0.5,,1.45,17,J21,First capa,,,6,,,,,Debajo de 6,Tierra arenosa. Munsell 10YR 4/2,Derrumbe y relleno,
12,DHS,3 VII 13,0.5,,0.4,17,J20,First capa,,,6,,,,,Debajo de 8,Tierra limosa. Munsell 10YR 4/2,Derrumbe y deslave,
13,DHS,3 VII 13,0.5,,0.4,17,K20,First capa,,,6,,,,,Debajo de 7,Tierra arcillosa. Munsell 10YR 4/2,Deslave,X
18,DHS,4 VII 13,0.5,,0.44,17,K20,Second capa,,,5,,,,,Debajo de 13,Tierra arcillosa. Munsell 10YR 4/2,Núcleo de construcción con relleno,
19,DHS,5 VII 13,0.5,,0.46,17,J20,Second capa,,,5,,,,,Debajo de 12,Tierra limosa y relleno. Munsell 10YR 4/2,Núcleo de construcción con relleno,
20,DHS,5 VII 13,0.5,,0.3,17,J21,Second capa,,,5,,,,Cuarto 1,"Debajo de 11, dentro de cuarto 1, S del muro",Tierra limosa con piedras de derrumbe. Munsell 10YR 4/2,Núcleo de construcción con relleno sobre piso,X
21,DHS,5 VII 13,0.5,,0.38,17,J21,Second capa,,,5,,,,,"Debajo de 11, N (exterior) del cuarto 1",Tierra arcillosa con algunas piedras. Munsell 10YR 5/2,Núcleo de construcción con relleno,X
25,DHS,6 VII 13,0.5,,0.4,17,K21,Second capa,,,5,,,,,"Debajo de 9, parejo con 10",Tierra limosa. Munsell 10YR 4/2,Relleno y deslave,
26,DHS,6 VII 13,0.5,,0.68,17,I21,Surface,,,6,,,,,Superficie,"Capa húmica, tierra orgánica y raíces. Munsell 10YR 4/2",Superficie,
27,DHS,8 VII 13,0.5,,0.54,17,I20,Surface,,,6,,,,,Superficie,"Capa húmica, tierra orgánica y raíces. Munsell 10YR 4/2",Superficie,
32,DHS,8 VII 13,0.5,,0.61,17,I21,First capa,,,6,,,,,Debajo de 26,Tierra limosa con piedras de derrumbe y un poco de tepetate molido. Munsell 10YR 5/2,Derrumbe,X
33,DHS,8 VII 13,0.5,,1.15,17,I20,First capa,,,6,,,,,Debajo de 27,"Tierra limosa, relleno y piedras. Munsell 10YR 4/2",Derrumbe y relleno,
39,DHS,9 VII 13,0.5,,0.12,17,I20,Second capa,,,5,,,,,Debajo de 33 al W del muro,Tierra limosa y relleno. Munsell 10YR 4/2,Núcleo de construcción con relleno,
40,DHS,9 VII 13,0.5,,0.23,17,I20,Second capa,,,5,,,,Cuarto 1,"Debajo de 33 al E del muro, dentro del cuarto 1",Tierra limosa y relleno. Munsell 10YR 4/2,Núcleo de construcción con relleno,X
41,DHS,9 VII 13,0.5,,0.42,17,I21,Second capa,,,5,,,,,Debajo de 32,Tierra limosa y relleno. Munsell 10YR 5/2,Núcleo de construcción con relleno,
46,DHS,10 VII 13,0.5,,0.67,17,K22,Surface,,,6,,,,,Superficie,"Capa húmica, tierra orgánica y raíces. Munsell 10YR 4/2",Superficie,
47,DHS,10 VII 13,0.5,,0.73,17,J22,Surface,,,6,,,,,Superficie,"Capa húmica, tierra orgánica y raíces. Munsell 10YR 4/2", \,
48,DHS,10 VII 13,0.5,,0.5,17,I22,Surface,,,6,,,,,Superficie,"Capa húmica, tierra orgánica y raíces. Munsell 10YR 4/2",Superficie,
56,DHS,12 VII 13,0.5,,0.21,17,I22,First capa,,,6,,,,,Debajo de 48,Tierra limosa con piedras de derrumbe. Munsell 10YR 5/2,Deslave y derrumbe sobre el apisonado,
57,DHS,12 VII 13,0.5,,0.37,17,J22,First capa,,,6,,,,,Debajo de 47,Tierra limosa con algunas piedras. Munsell 10YR 4/2,Derrumbe y deslave,
58,DHS,12 VII 13,0.5,,0.39,17,K22,First capa,,,6,,,,,Debajo de 46,Tierra limosa. Munsell 10YR 5/2,Relleno,
67,DHS,12 VII 13,0.5,,0.69,17,K22,Second capa,,,5,,,,,Debajo de 58,Tierra limosa con fragmentos de apisonado. Munsell 10YR 5/2,Deslave y piso compactado,
68,DHS,15 VII 13,0.5,,0.25,17,J22,Second capa,,,5,,,,Cuarto 2,Debajo de 57 al N del muro,Tierra limosa. Munsell 10YR 4/2,Derrumbe y relleno,X
69,DHS,15 VII 13,0.5,,0.21,17,J22,Second capa,,,5,,,,,Debajo de 57 al S del muro,Tierra limosa con un poco de arena. Munsell 10YR 5/2,Derrumbe y relleno,
